product_name,product_image,category
Ορθογώνιο Τραπεζάκι Σαλονιού Dunno από Μασίφ Ξύλο Φυσικό 1τμχ Μ58xΠ56xΥ30εκ.,https://a.scdn.gr/images/sku_main_images/010724/10724438/fixedratio_20161228151735_dunno_e7105_58cm_56cm_30cm.jpeg,small_table
Ορθογώνιο Τραπεζάκι Σαλονιού από Μασίφ Ξύλο Φυσικό 1τμχ Μ115xΠ64xΥ40εκ.,https://d.scdn.gr/images/sku_main_images/014052/14052087/fixedratio_20181213181633_hm8183_115x64x40cm.jpeg,small_table
Στρογγυλό Βοηθητικό Τραπεζάκι Roma Ξύλινο Cappuccino 3τμχ Μ33xΠ33xΥ46εκ.,https://d.scdn.gr/images/sku_main_images/032493/32493580/fixedratio_20230315125446_strogylo_voithitiko_trapezaki_roma_xylino_cappuccino_gp022_0027_4_m33xp33xy46ek.jpeg,small_table
Στρογγυλό Βοηθητικό Τραπεζάκι Roma Ξύλινο Cappuccino 1τμχ Μ33.5xΠ33.5xΥ46εκ.,https://d.scdn.gr/images/sku_main_images/032517/32517492/fixedratio_20220803090403_strogylo_voithitiko_trapezaki_roma_xylino_cappuccino_gp022_0026_5_m33_5xp33_5xy46ek.jpeg,small_table
Ορθογώνιο Τραπεζάκι Σαλονιού Γυάλινο Inox / Μαύρο 1τμχ Μ120xΠ60xΥ45εκ.,https://b.scdn.gr/images/sku_main_images/026852/26852775/fixedratio_20210316113320_trapezaki_saloniou_orthogonio_inox_mayro_em748_1_120x60cm.jpeg,small_table
Ορθογώνιο Τραπεζάκι Σαλονιού Soul από Μασίφ Ξύλο Καρυδί 1τμχ Μ90xΠ55xΥ41εκ.,https://c.scdn.gr/images/sku_main_images/032493/32493486/fixedratio_20220210092023_orthogonio_trapezaki_saloniou_soul_apo_masif_xylo_karydi_gp022_0031_3_m90xp55xy41ek.jpeg,small_table
Στρογγυλό Βοηθητικό Τραπεζάκι από Μασίφ Ξύλο Ξύλο Ακακίας 1τμχ Μ35xΠ35xΥ42εκ.,https://a.scdn.gr/images/sku_main_images/032083/32083358/fixedratio_20211102131930_voithitiko_trapezaki_strogylo_xylo_akakias_hm8209_11_35x35x42cm.jpeg,small_table
Στρογγυλό Βοηθητικό Τραπεζάκι Muller Ξύλινο Μαύρο / Καρυδί 1τμχ Μ35xΠ35xΥ47εκ.,https://c.scdn.gr/images/sku_main_images/035903/35903780/fixedratio_20220511103254_strogylo_voithitiko_trapezaki_muller_xylino_mayro_karydi_gp030_0038_1_m35xp35xy47ek.jpeg,small_table
Ορθογώνιο Τραπεζάκι Σαλονιού Linea Γυάλινο Διάφανο 1τμχ Μ110xΠ60xΥ42εκ.,https://b.scdn.gr/images/sku_main_images/018148/18148263/fixedratio_20200805134942_trapezaki_saloniou_linea_orthogonio_wenge_09_0607.jpeg,small_table
Τετράγωνο Τραπεζάκι Σαλονιού Γυάλινο Διάφανο 1τμχ Μ80xΠ80xΥ45εκ.,https://a.scdn.gr/images/sku_main_images/021044/21044736/fixedratio_20200220171050_trapezaki_saloniou_tetragono_diafano_hm8613_01.jpeg,small_table
Στρογγυλό Τραπεζάκι Σαλονιού Theron Ξύλινο Μαύρο 1τμχ Μ79xΠ79xΥ47εκ.,https://c.scdn.gr/images/sku_main_images/035847/35847763/fixedratio_20220512111008_strogylo_trapezaki_saloniou_theron_xylino_mayro_gp032_0015_3_m79xp79xy47ek.jpeg,small_table
Στρογγυλό Τραπεζάκι Σαλονιού Movva από Μασίφ Ξύλο Φυσικό 1τμχ Μ90xΠ90xΥ36εκ.,https://b.scdn.gr/images/sku_main_images/014651/14651601/fixedratio_20200219130601_trapezaki_saloniou_movva_strogylo_fysiko_ea7053.jpeg,small_table
Στρογγυλό Βοηθητικό Τραπεζάκι από Μασίφ Ξύλο Μαύρο 1τμχ Μ56xΠ56xΥ40εκ.,https://b.scdn.gr/images/sku_main_images/013340/13340429/fixedratio_20220811141006_strogylo_voithitiko_trapezaki_apo_masif_xylo_mayro_3_50_013_0001_m56xp56xy40ek.jpeg,small_table
Ορθογώνιο Βοηθητικό Τραπεζάκι Lapin Ξύλινο Καρυδί 1τμχ Μ45xΠ17xΥ51.4εκ.,https://b.scdn.gr/images/sku_main_images/039059/39059741/fixedratio_20221107113459_orthogonio_voithitiko_trapezaki_lapin_xylino_karydi_gp028_0085_1_m45xp17xy51_4ek.jpeg,small_table
Στρογγυλό Βοηθητικό Τραπεζάκι Select Ξύλινο Δρυς 3τμχ Μ33xΠ33xΥ46εκ.,https://c.scdn.gr/images/sku_main_images/032493/32493567/fixedratio_20220210093409_strogylo_voithitiko_trapezaki_select_xylino_drys_gp022_0041_1_m33xp33xy46ek.jpeg,small_table
Ορθογώνιο Βοηθητικό Τραπεζάκι Homemania Ξύλινο Γκρι 1τμχ Μ60xΠ20xΥ60εκ.,https://a.scdn.gr/images/sku_main_images/038910/38910753/fixedratio_20221024131246_orthogonio_voithitiko_trapezaki_sully_xylino_gri_gp037_0018_2_m60xp20xy60ek.jpeg,small_table
Στρογγυλό Τραπεζάκι Σαλονιού Μεταλλικό Χρυσό 1τμχ Μ60xΠ60xΥ46εκ.,https://c.scdn.gr/images/sku_main_images/033640/33640027/fixedratio_20220603094808_strogylo_trapezaki_saloniou_metalliko_chryso_3_50_189_0057_m60xp60xy46ek.jpeg,small_table
Στρογγυλό Τραπεζάκι Σαλονιού Glen από Μασίφ Ξύλο Φυσικό 1τμχ Μ82xΠ82xΥ40εκ.,https://d.scdn.gr/images/sku_main_images/024846/24846784/fixedratio_20201214150804_trapezaki_saloniou_glen_strogylo_ea7081.jpeg,small_table
